Designator,Mid X,Mid Y,Layer,Rotation
C1,29.81,-42.92,T,0.00
C1,29.81,-30.92,T,0.00
C2,36.40,-29.88,B,180.00
C2,36.40,-41.88,B,180.00
C3,29.83,-37.85,T,0.00
C3,29.83,-25.85,T,0.00
C4,33.07,-30.60,B,270.00
C4,33.07,-42.60,B,270.00
C5,40.34,-28.98,B,90.00
C5,40.34,-40.98,B,90.00
C6,41.38,-44.85,B,180.00
C6,41.38,-32.85,B,180.00
C7,33.07,-40.60,B,90.00
C7,33.07,-28.61,B,90.00
C8,40.34,-30.91,B,90.00
C8,40.34,-42.91,B,90.00
C9,39.31,-25.12,B,270.00
C9,39.31,-37.12,B,270.00
C10,40.34,-39.05,B,90.00
C10,40.34,-27.05,B,90.00
C11,40.34,-37.11,B,270.00
C11,40.34,-25.11,B,270.00
C12,37.81,-24.68,B,0.00
C12,37.81,-36.68,B,0.00
C13,33.07,-26.61,B,270.00
C13,33.07,-38.61,B,270.00
C14,35.34,-28.33,B,90.00
C14,35.34,-40.33,B,90.00
R1,32.00,-29.29,T,90.00
R1,32.00,-41.29,T,90.00
R2,34.18,-44.35,B,90.00
R2,34.18,-32.35,B,90.00
R5,34.59,-36.97,B,270.00
R5,34.59,-24.96,B,270.00
R6,35.62,-24.96,B,270.00
R6,35.62,-36.97,B,270.00
R8,35.94,-32.34,B,270.00
R8,35.94,-44.34,B,270.00
R9,37.07,-32.34,B,270.00
R9,37.07,-44.34,B,270.00
R10,38.18,-32.34,B,270.00
R10,38.18,-44.34,B,270.00
R11,39.31,-44.34,B,270.00
R11,39.31,-32.34,B,270.00
R12,33.95,-23.97,T,0.00
R12,33.95,-35.97,T,0.00
SW1,31.87,-24.45,B,180.00
SW1,31.87,-36.45,B,180.00
U1,36.70,-40.70,T,270.00
U1,36.70,-28.70,T,270.00
U2,37.29,-39.37,B,0.00
U2,37.29,-27.37,B,0.00
U5,29.83,-31.92,B,270.00
U5,29.83,-43.92,B,270.00
X1,29.80,-40.38,T,90.00
X1,29.80,-28.38,T,90.00
